Subject;IndAlpha_ReportedBefore;IndBeta_ReportedBefore;IndMu_ReportedBefore;SocAlpha_ReprotedBefore;SocBeta_ReportedBefore;SocMu_ReportedBefore;IndLL_ReportedBefore;SocLL_ReportedBefore;Agegroup;Sex;Age;OrderConditions;ResistanceToPeerInfluence;NeedForArousal;ARQ_Thrillseeking_Perception;ARQ_Rebellious_Perception;ARQ_Reckless_Perception;ARQ_Antisocial_Perception;ARQ_Thrillseeking_Behavior;ARQ_Rebellious_Behavior;ARQ_Reckless_Behavior;ARQ_Antisocial_Behavior;BISBAS_Drive;BISBAS_Funseeking;BISBAS_Reward;BISBAS_Bis;BIS11_Scale1;BIS11_Scale2;BIS11_Scale3;BIS11_Scale4;IRI_PerspectiveTaking;IQ_Plus;OthersFaceName;TryBestHowMuch;HowNiceTask;HowHardTask;HowMuchAttentiontoAmount;HowMuchAttentiontoAmbiguity;HowMuchAttentiontoRisk;HowMuchAttentiontoOther;GuessWhatsUnderAmbiguity1;GuessWhatsUnderAmbiguity2;GuessWhatsUnderAmbiguity3;Peer_Believe;Peer_Wise;Peer_Nice;Peer_Old;Peer_Smart;EducationallevelAdolescents;EducationallevelAdults;Occupation_mother;Occupation_father;School;VAR00001;Like_Sociometrics;Dislike_Sociometrics;Impact_Sociometrics;Pref_Sociometrics;ProbLike_Sociometrics;ProbDisl_Sociometrics;ProbImp_Sociometrics;ProbPref_Sociometrics;ZLike_Sociometrics;ZDislike_Sociometrics;ZImpact_Sociometrics;ZPref_Sociometrics;ZStatus_Sociometrics;PStat1_Sociometrics;GRDStat1_Sociometrics;NSymLike_Sociometrics;NSymDisl_Sociometrics
429;0.36;1.00;0.10;0.36;1.00;0.10;6.47;6.47;4;0;22.63;2;3.80;64.88;2;3;4;2;1;1;1;2;14.00;11.00;20.00;22.00;17;19;20;56;27;#NULL!;48V_21.bmp;9.00;6.00;0.00;6.00;9.00;9.00;0.00;1.00;1.00;1.00;6.00;3.00;5.00;3.00;7.00;#NULL!;3;Docent middelbare school;Engineer;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
430;0.65;0.36;0.20;0.70;0.57;0.24;26.42;26.10;4;0;21.61;1;2.90;41.13;3;2;3;2;0;2;1;2;11.00;13.00;19.00;20.00;24;18;24;66;27;#NULL!;18V_24.bmp;6.00;6.00;3.00;5.00;9.00;9.00;1.00;2.00;2.00;2.00;1.00;2.00;7.00;2.00;7.00;#NULL!;7;Boekhouder;IT-medewerker;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
431;0.33;0.27;0.41;0.28;0.42;0.13;100.97;25.22;4;0;22.93;2;3.00;49.75;2;3;3;2;1;1;0;1;12.00;12.00;19.00;21.00;20;21;27;68;22;#NULL!;62V_24.bmp;7.00;3.00;2.00;0.00;8.00;7.00;0.00;1.00;1.00;1.00;1.00;3.00;1.00;2.00;4.00;#NULL!;3;schoonheidsspecialist;taxi chauffeur;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
432;0.42;1.00;0.12;0.45;1.00;0.18;17.70;26.07;4;0;21.93;1;3.70;52.25;2;1;3;1;1;4;1;3;14.00;15.00;19.00;21.00;25;21;31;77;22;#NULL!;48V_21.bmp;7.00;7.00;6.00;0.00;8.00;0.00;2.00;1.00;1.00;1.00;0.00;2.00;7.00;2.00;4.00;#NULL!;2;werk in cruise-schepen;werk in de toerisme;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
434;0.92;0.31;0.62;0.87;0.24;0.85;40.46;63.24;4;0;21.78;1;2.80;44.38;2;1;3;3;1;3;0;2;14.00;11.00;17.00;21.00;21;16;29;66;25;#NULL!;48V_21.bmp;5.00;5.00;3.00;8.00;5.00;7.00;2.00;2.00;2.00;2.00;8.00;4.00;7.00;2.00;6.00;#NULL!;3;leerplichtamtenaar;personeelsadviseur;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
435;0.66;0.51;0.42;0.67;0.36;0.35;53.61;42.67;4;1;22.91;2;3.10;62.13;2;2;4;1;1;2;0;2;12.00;12.00;15.00;17.00;22;16;26;64;22;#NULL!;25M_25.bmp;7.00;3.00;2.00;6.00;7.00;7.00;0.00;2.00;2.00;2.00;3.00;6.00;5.00;2.00;4.00;#NULL!;3;;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
436;0.39;0.17;0.36;0.34;0.15;0.25;87.73;69.49;4;0;21.57;1;3.20;35.75;1;3;3;3;2;1;1;2;10.00;11.00;17.00;26.00;20;16;21;57;23;#NULL!;73V_23.bmp;8.00;5.00;5.00;6.00;7.00;3.00;2.00;1.00;2.00;2.00;3.00;4.00;7.00;3.00;7.00;#NULL!;3;RA manager bij een farmaceutisch bedrijf;IT manager in innovatie in de psychische zorg.;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
438;0.76;0.41;0.64;0.76;0.58;0.75;63.08;72.93;4;0;21.16;1;3.50;83.13;1;3;3;2;2;2;2;2;12.00;15.00;19.00;13.00;28;25;30;83;21;#NULL!;72V_21.bmp;7.00;6.00;1.00;7.00;1.00;4.00;1.00;2.00;2.00;2.00;2.00;4.00;6.00;2.00;3.00;#NULL!;3;Verpleegkundige;Financieel directeur;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
439;0.50;0.83;0.21;0.58;0.90;0.22;29.29;26.64;4;1;24.32;2;2.90;26.88;1;3;3;3;1;0;0;2;11.00;9.00;19.00;28.00;20;18;19;57;22;#NULL!;42M_22.bmp;8.00;8.00;3.00;2.00;9.00;7.00;2.00;1.00;1.00;2.00;2.00;3.00;5.00;1.00;2.00;#NULL!;7;Directiesecretaresse;ZZP'er;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
440;0.56;0.58;0.29;0.56;0.49;0.31;43.92;48.06;4;1;21.93;1;2.50;36.88;3;3;4;3;1;1;0;1;10.00;10.00;10.00;14.00;20;15;20;55;27;#NULL!;39M_25.bmp;8.00;6.00;5.00;8.00;6.00;8.00;2.00;1.00;1.00;1.00;1.00;3.00;4.00;2.00;3.00;#NULL!;2;Ambtenaar;Wijkagent;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!
